HID	PA
62815	0
62816	0
62817	0
62818	0
62819	0
62820	1
62821	1
62822	1
62823	1
62824	1
62825	1
62826	1
62827	1
62828	1
62829	0
62830	0
62831	0
62832	0
62833	0
62834	0
62835	0
62836	0
62837	0
62838	0
62839	0
62840	0
62891	0
62892	0
62893	0
62894	0
62895	0
62896	0
62897	0
62898	0
62899	0
62900	0
62901	1
62902	1
62903	1
62904	1
62905	1
62906	1
62907	1
62908	1
62909	0
62910	0
62911	0
62912	0
62913	0
62914	0
62915	0
62916	0
62917	0
62918	0
62919	0
62920	0
62921	0
62972	0
62973	0
62974	0
62975	0
62976	0
62977	0
62978	0
62979	0
62980	0
62981	0
62982	1
62983	1
62984	1
62985	1
62986	1
62987	1
62988	0
62989	1
62990	0
62991	0
62992	0
62993	0
62994	0
62995	0
62996	0
62997	0
62998	0
62999	0
63000	0
63001	0
63002	0
63003	0
63053	0
63054	0
63055	0
63056	0
63057	0
63058	0
63059	0
63060	0
63061	0
63062	0
63063	1
63064	1
63065	1
63066	1
63067	1
63068	0
63069	0
63070	1
63071	0
63072	0
63074	0
63075	0
63076	0
63077	0
63078	0
63079	0
63080	0
63081	0
63082	0
63083	0
63134	0
63135	0
63136	0
63137	0
63138	0
63139	0
63140	0
63141	0
63142	0
63143	0
63145	1
63146	1
63147	1
63148	1
63149	1
63150	0
63151	0
63152	0
63153	0
63154	0
63155	0
63156	0
63157	0
63158	0
63159	0
63160	0
63161	0
63162	0
63163	0
63164	0
63165	0
63216	0
63217	0
63218	0
63219	0
63220	0
63221	0
63222	0
63223	0
63226	1
63227	1
63228	1
63229	1
63230	1
63231	0
63232	0
63233	0
63234	0
63235	0
63236	0
63237	0
63238	0
63239	0
63240	0
63241	0
63242	0
63243	0
63244	0
63245	0
63246	0
63296	0
63297	0
63298	0
63299	0
63300	0
63301	0
63302	0
63307	1
63308	1
63309	1
63310	1
63311	1
63312	0
63313	0
63314	0
63315	0
63316	0
63317	0
63318	0
63319	0
63320	0
63321	0
63322	0
63323	0
63324	0
63325	0
63326	0
63327	0
63378	0
63379	0
63380	0
63381	0
63382	0
63383	0
63389	1
63390	1
63391	1
63392	1
63393	0
63394	0
63395	0
63396	0
63397	0
63398	0
63399	0
63400	0
63401	0
63402	0
63403	0
63404	0
63405	0
63406	0
63407	0
63408	0
63459	0
63460	0
63461	0
63462	0
63463	0
63470	1
63471	1
63472	1
63473	1
63474	1
63475	0
63476	0
63477	0
63478	0
63479	0
63480	0
63481	0
63482	0
63483	0
63484	0
63485	0
63486	0
63487	0
63488	0
63489	0
63490	0
63540	0
63541	0
63542	0
63543	0
63550	1
63551	1
63552	1
63553	1
63554	1
63555	0
63556	0
63557	0
63558	0
63559	0
63560	0
63561	0
63562	0
63563	0
63564	0
63565	0
63566	0
63567	0
63568	0
63569	0
63570	0
63621	0
63622	0
63623	0
63625	0
63632	1
63633	1
63634	1
63635	1
63636	0
63637	0
63638	0
63639	0
63640	0
63641	0
63642	0
63643	0
63644	0
63645	0
63646	0
63647	0
63648	0
63649	0
63650	0
63651	0
63652	0
63703	0
63704	0
63707	0
63713	1
63714	1
63715	1
63716	1
63717	1
63718	0
63719	0
63720	0
63721	0
63722	0
63723	0
63724	0
63725	0
63726	0
63727	0
63728	0
63729	0
63730	0
63731	0
63732	0
63733	0
63783	0
63784	0
63785	0
63793	1
63794	1
63795	1
63796	1
63797	1
63798	0
63799	0
63800	0
63801	0
63802	0
63803	0
63804	0
63805	0
63806	0
63807	0
63808	0
63809	0
63810	0
63811	0
63812	0
63813	0
63814	0
63865	0
63866	0
63873	1
63874	1
63875	1
63876	1
63877	1
63878	1
63879	1
63880	0
63881	0
63882	0
63883	0
63884	0
63885	0
63886	0
63887	0
63888	0
63889	0
63890	0
63894	0
63895	0
63946	0
63947	0
63948	0
63954	1
63955	1
63956	1
63957	1
63958	1
63959	1
63960	0
63961	0
63962	0
63963	0
63964	0
63965	0
63967	0
63968	0
63969	0
63970	0
63971	0
63976	0
64027	0
64028	0
64034	1
64035	1
64036	1
64037	1
64038	1
64039	1
64040	1
64041	0
64042	0
64043	0
64044	0
64045	0
64048	0
64049	0
64050	0
64051	0
64056	0
64109	0
64110	0
64115	1
64116	1
64117	1
64118	1
64119	1
64120	1
64121	1
64122	0
64123	0
64124	0
64125	0
64126	0
64127	0
64131	0
64191	0
64196	1
64197	1
64198	1
64199	1
64200	1
64201	1
64202	0
64203	0
64204	0
64205	0
64206	0
64207	0
64208	0
64272	0
64276	1
64277	1
64278	1
64279	1
64280	0
64281	1
64282	1
64283	0
64284	0
64285	0
64286	0
64287	0
64288	0
64293	0
64358	1
64359	1
64360	1
64361	1
64362	0
64363	0
64364	0
64365	0
64366	0
64367	0
64368	0
64369	0
64439	1
64440	1
64441	1
64442	1
64443	0
64444	0
64445	0
64446	0
64447	0
64448	0
64449	0
64450	0
64451	0
64519	1
64520	1
64521	1
64522	1
64523	1
64524	0
64525	0
64526	0
64527	0
64528	0
64529	0
64530	0
64531	0
64601	1
64602	1
64603	1
64604	1
64605	0
64606	0
64607	0
64608	0
64609	0
64610	0
64611	0
64612	0
64682	1
64683	1
64684	1
64685	1
64686	0
64687	0
64688	0
64689	0
64690	0
64691	0
64692	0
64693	0
64694	0
64763	1
64764	1
64765	1
64766	1
64767	0
64768	0
64769	0
64770	0
64771	0
64772	0
64773	0
64774	0
64844	1
64845	1
64846	1
64847	1
64848	1
64849	0
64850	0
64851	0
64852	0
64853	0
64854	0
64855	0
64856	0
64926	1
64927	1
64928	1
64929	1
64930	0
64931	0
64932	0
64933	0
64934	0
64935	0
64936	0
64937	0
65007	1
65008	1
65009	1
65010	1
65011	0
65012	0
65013	0
65014	0
65015	0
65016	0
65017	0
65018	0
65088	1
65089	1
65090	1
65091	1
65092	0
65093	0
65094	0
65095	0
65096	0
65097	0
65098	0
65099	0
65103	0
65104	0
65170	1
65171	1
65172	1
65173	1
65174	0
65175	0
65176	0
65177	0
65178	0
65179	0
65180	0
65181	0
65182	0
65183	0
65184	0
65185	0
65251	1
65252	1
65253	1
65254	0
65255	0
65256	0
65257	0
65258	0
65259	0
65260	0
65261	0
65262	0
65263	0
65264	0
65265	0
65266	0
65332	1
65333	1
65334	1
65335	0
65336	0
65337	0
65338	0
65339	0
65340	0
65341	0
65342	0
65343	0
65344	0
65345	0
65346	0
65347	0
65413	1
65414	1
65415	1
65416	0
65417	0
65418	0
65419	0
65420	0
65421	0
65422	0
65423	0
65424	0
65425	0
65426	0
65427	0
65428	0
65429	0
65492	1
65493	1
65494	1
65495	1
65496	1
65497	0
65498	0
65499	0
65500	0
65501	0
65502	0
65503	0
65504	0
65505	0
65506	0
65507	0
65508	0
65509	0
65574	1
65575	1
65576	1
65577	0
65578	0
65579	0
65580	0
65581	0
65582	0
65583	0
65584	0
65585	0
65586	0
65587	0
65588	0
65589	0
65590	0
65591	0
65655	1
65656	1
65657	1
65658	1
65659	0
65660	0
65661	0
65662	0
65663	0
65664	0
65665	0
65666	0
65667	0
65668	0
65669	0
65670	0
65671	0
65672	0
65736	1
65737	1
65738	1
65739	0
65740	0
